TaskID,DealName,DateFrom,DateTo,IsActive,AllowCoupons,SingleUse,CouponCodes,CustomerGroup,CustomerName,CustomerTagName,DiscountName,EntireOrder,BrandName,CategoryName,CommaDelimitedTags,ProductSKU,BuyX,BuyOrMore,BuyXValue,BuyAmount,GetX,GetXValue,GetAmount
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 40%","False","","","","ONO00077,ONO00079,ONO00080,ONO00081,ONO00082,ONO00083,ONO00084,ONO00085,ONO00086,ONO00087,ONO00089,ONO00090,ONO00091,ONO00092","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 20%","False","","","","AQU12602,AQU12603,AQU12610,AQU12658,AQU12673,ONA01014,ONA01015,ONA01016,ONA01017,ONA06007,ONA06008,ONA71200,TIR13248,TIR13326,TIR13386,TIR13387,TIR13388,TIR13425,TIR13432,TIR13433,TIR13483,TIR13484,TIR13485,TIR13486,TIR13487,TIR13488,TIR13489,TIR13490,TIR13491,TIR13492,TIR13493,TIR13583,TIR13584,TIR13585,TIR13586,TIR13587,TIR13588,TIR13589,TIR13590,TIR13591,TIR13592,TIR13738,TIR13739,TIR13740,TIR13741,TIR13742,TIR13743,TIR13744,TIR13745,TIR13746,TIR13747,TIR69001,TIR69003,TIR69109,TIR69251,TIR69644,TIR69645,TIR69646,TIR69961","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 25%","False","","","","AQU12606,AQU12614,AQU12615,AQU12645,AQU12672,LLC28158,RSK53280,RSK53281,RSK53283,RSK53284,RSK53332,RSK53333,RSK53336-12,RSK53338,RSK53340,RSK53342","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 10%","False","","","","DAX00013,DAX00014,DAX00029,DAX00058,DAX00059,DAX00084,DAX00099,DAX00100,DAX00201,DAX00301,DAX00602,DAX00603,DAX00904,DAX00905,ONA70011,ONA70013,ONA70021,ONA70023,ONA70031,ONA70033,ONA80011,ONA80013,ONA80021,ONA80023,ONA80031,ONA80033,ONA80043,ONA80051,ONA80053","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 50%","False","","","","ASH60447,ASH60448,ASH60449,ASH60450,ASH60451,ASH60452,ASH60453,ASH60454,ASH60455,ASH60456,ASH60457,ASH60458,ASH60459,ASH60460,ASH60461,ASH60462,ASH60463,ASH60464,ASH60465,ASH60466,ASH60467,ASH60468,ASH60469,ASH60470,ASH60471,ASH60472,ASH60473,ASH60474,ASH60475,ASH60476,ASH60477,ASH60478,ASH60479,ASH60480,ASH60481,ASH60482,ASH60483,ASH60484,ASH60485,ASH60486,ASH60487,ASH60488,ASH60489,ASH60490,ASH60491,ASH60492,ASH60493,ASH60494,ASH60495,ASH60496,ASH60497,ASH60498,ASH60499,ASH60500,ASH60501,ASH60502,ASH60503,ASH60504,ASH60505,ASH60506,ASH60507,ASH60508,ASH60509,ASH60510,ASH60511,ASH60512,ASH60513,ASH60514,ASH60515,ASH60516,ASH60517,ASH60518","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 30%","False","","","","GPR00438,GPR00456,GPR00490,GPR00491,GPR00492,GPR00494,GPR00495,GPR00610,GPR00611,RON01682,RON01683,RON01684,RON02544,RON02545,RON02546,RON02547,RON02548,RON02549,RON02553,RON02554,RON02555,RON02556,RON02557,RON02558,RON02569,RON02633,RON02634,RON02653,RON02654","","False","","","","","",""
"3be14115-8ff5-466e-843c-de338252856c","Sale: Monthly_April_2026",20260401,20260430,"True","False","False","","All customers","","","Discount 15%","False","","","","BMA15310,BMA15710,BMA15910,BMA16110,BMA16210,BMA16511,BMA16610,BMA16710,BMA16810,BMA17210,BMA17310,BMA17410,BMA17610,BMA18010,BMA18310,BMA18510,BMA18710,HSI02535,HSI03034,HSI03047,HSI03059,HSI03060,HSI03061,HSI08125,HSI08126,HSI08127,HSI08130,HSI20010,HSI20011,HSI20024,HSI20028,HSI20082,MUR10000,MUR17000,MUR26000,MUR26200,MUR26500,MUR26600,MUR26650,MUR26700,MUR26800,MUR26900,MUR27100,MUR27200,MUR27500,MUR27600,PAR00030,PAR00100,PAR00300,PAR00700,PAR00710,PAR00720,PAR00730,PAR00760,PAR00820,PAR00901,QHE01963,QHE01971,QHE01979,QHE16476,QHE17481,QHE22005,QHE22078,QHE56576,QHE65383,VIG47101,VIG47103,VIG47104,VIG47252","","False","","","","","",""
"1681cc26-85cd-4b55-9234-edb805bccd2f","Sale: Monthly_August_2026",20260801,20260831,"True","False","False","","All customers","","","Discount 20%","False","","","","AS93140,AS93141,AS93145,AS93150,AS93151,AS93155,AS93224,AS93225,AS93229,AS93230,LLC28158,LLC28166,MTL32577,MTL37535,MTL37585,MTL38576,MTL81058,TIR13201,TIR13489,TIR13490,TIR13491,TIR13492,TIR13493,TIR13585,TIR13587,TIR13590,TIR13591,TIR13744,TIR13745,TIR13747,TIR69645","","False","","","","","",""
"1681cc26-85cd-4b55-9234-edb805bccd2f","Sale: Monthly_August_2026",20260801,20260831,"True","False","False","","All customers","","","Discount 10%","False","","","","AS93164,AS93165,BMA15310,BMA15710,BMA15910,BMA16110,BMA16610,BMA16710,BMA16810,BMA17210,BMA18310,BMA18510,BMA18710,CAN00001,CAN00002,CAN01000,CAN01001,CAN01004,CAN01005,CAN01517,CAN01542,CAN01543,CAN01544,CAN01545,CAN01546,CAN01547,CAN01667,CAN94071,CAN94247,CAN94248,CAN94251,CAN94252,CAN94390,CAN94406,CAN94627,CAN94628,CAN94629,CAN94630,ORS11018,ORS11021,ORS11023,ORS11030,ORS11032,ORS11079,ORS11091,ORS11092,ORS11099,ORS11107,ORS11152,ORS11154,ORS11155,ORS11156,ORS11700,ORS11703,ORS19169,ORS21029,ORS22005,ORS23103","","False","","","","","",""
"1681cc26-85cd-4b55-9234-edb805bccd2f","Sale: Monthly_August_2026",20260801,20260831,"True","False","False","","All customers","","","Discount 15%","False","","","","CHI03860,CHI04081,CHI04148,CHI04151,CHI04230,CHI04390,CHI62539,CHI63587,ELO82300,ELO82301,ELO82302,ELO82303,ELO82304,ELO82305,ELO82306,ELO82307,ELO82316,ELO82321,ELO82322,ELO82323,ELO82325,ELO82326,ELO82327,FRO00924,FRO00925,FRO00926,FRO02082,FRO02084,FRO02089,FRO02090,FRO02097,FRO02098,FRO02099,FRO02100,FRO02106,FRO02109,FRO02111,FRO12421,FRO12431,FRO12936,FRO12941,HCL06027,HCL06028,HCL61021,HCL61022,HCL61023,HCL61024,HCL61066,HCL61067,HCL61101,HCL61102,HCL61103,HCL61105,HCL61169,HCL61170,HCL61171,HCL61172,HCL81544,MAR53408,MAR55055GLD,MAR55055RED,MAR55060GLD,MAR55060GRN,MAR55065BLK,MAR55065RED,RESH00301,RESH00313,RESH00319,RESH00320,RESH00322,RESH00325,RESH00326,RESH00327,RESH00328,RESH00331,RESH00338,RESH00349,RESH00701,RESH00706,RESH00707,RESH00708,RESH00712,RESH00713,RESH00715,RESH00716,RESH00717,RESH00718,RESH00719,RESH00720,RESH00721,RESH00722,RESH00723,RESH00758,RESH00763,RESH00766,RESH00767,RESH00768,RESH00769,RESH00770,RESH00771,SPO50750GRN,SPO50750RED,SPO50754BLK,SPO50754GLD,SPO50754SVR,THA05036,THA05161,THA07003,THA07006,THA07007,THA07008,TIR13324,TIR13326,TIR13328,TIR13432,TIR13433,TIR13487,TIR13583,TIR13586,TIR13588,TIR13589,TIR13592,TIR13740,TIR13742,TIR13746,TIR69644","","False","","","","","",""
